name,url,group,stars,forks,open_issues,language,archived,created_at,pushed_at,description,fetch_status,commit,feature_file_count,has_workflows
alvitazwar/BDD-with-PlaywrightJs,https://github.com/alvitazwar/BDD-with-PlaywrightJs,nodejs,3,1,0,JavaScript,False,2023-11-27T10:27:00Z,2023-11-27T11:01:33Z,This is a generic Playwright framework to write scripts with Cucumber in BDD approach,200,61d522c0c92512e520b35061a80dc40d7b157188,1,False
automationExamples/Playwright-Cucumber-Exercise,https://github.com/automationExamples/Playwright-Cucumber-Exercise,nodejs,3,232,237,TypeScript,False,2023-12-18T20:31:35Z,2025-10-04T20:06:57Z,,cache,b56632355d3c2f05b537ee3e048c6da914729c5f,3,True
jdsmdev/cucumber-playwright,https://github.com/jdsmdev/cucumber-playwright,nodejs,3,0,0,TypeScript,False,2022-12-12T13:03:15Z,2023-01-03T10:41:15Z,,200,b9a29fc31b0f0afb9b731d31878d6293fc6c2b1d,1,False
mikementor/playwright-fluent-ts-cucumber7-starter,https://github.com/mikementor/playwright-fluent-ts-cucumber7-starter,nodejs,3,0,0,TypeScript,False,2021-06-28T10:21:05Z,2021-06-29T07:19:28Z,,cache,ab2f2f05a8eac0ff0da0583aa057b8ef52dad2bd,1,True
ptech/cucumber-playwright-workshop,https://github.com/ptech/cucumber-playwright-workshop,nodejs,3,3,0,TypeScript,False,2023-11-20T14:04:58Z,2025-07-07T12:45:22Z,Test Automation with Cucumber and Playwright Workshop,200,254b0fc24b86f5e9607bf9dc0d33623ec1540b43,5,False
shrinidhimanchi/cucumber-playwright-automation,https://github.com/shrinidhimanchi/cucumber-playwright-automation,nodejs,3,2,2,JavaScript,False,2022-12-16T08:42:26Z,2023-11-11T06:19:35Z,UI Automation using Playwright & Cucumber,200,b13f81684da0293511e72882bd92c1f3d13a96e1,1,False
testerncoder/e2e-automation-playwright-typescript-cucumber,https://github.com/testerncoder/e2e-automation-playwright-typescript-cucumber,nodejs,3,1,0,TypeScript,False,2022-01-31T09:05:58Z,2022-02-01T02:07:53Z,E2E Automation Using Playwright + Typescript + Cucumber,200,9e04f8f6dc96c57a91f10b0f2d600e92d4c0f87d,1,False
Test-Architect/playwright-java-bdd-sample,https://github.com/Test-Architect/playwright-java-bdd-sample,java,3,1,0,Java,False,2025-07-05T00:15:28Z,2025-07-05T01:03:52Z,"A scalable, CI/CD-friendly Playwright + Cucumber test framework in Java. Designed to give you end-to-end (UI & API) coverage with minimal boilerplate.",200,c449521d5e9acbe4651238ab4346e05888568620,2,False
neiltorrentira/PlaywrightJavaBDDMaven,https://github.com/neiltorrentira/PlaywrightJavaBDDMaven,java,3,1,0,Java,False,2023-02-26T03:08:31Z,2023-02-26T13:02:17Z,Playwright Java Cucumber/BDD Maven Parameterization,200,cb6de9b45a8c1149b3208cb168eb4ef202250e71,2,False
Furkan9528/Tripadvisor-Testinium,https://github.com/Furkan9528/Tripadvisor-Testinium,nodejs,2,0,0,TypeScript,False,2025-04-22T08:54:34Z,2025-07-17T12:32:57Z,"TypeScript, Playwright, TripAdvisor, Cucumber(BDD)",200,d7bf82b416c39d5b77a14b020c2b0345765fe8fc,1,False
HEEPOKE/playwright-cucumber,https://github.com/HEEPOKE/playwright-cucumber,nodejs,2,0,0,TypeScript,False,2023-08-21T09:54:45Z,2024-04-01T02:59:33Z,,cache,18940a304bc687e1dd70ae9a8e2c82cbfc9a18e7,2,True
